household_id,consumption_kwh,income_proxy,segment_label
1,416.1140686021686,2.0,C
2,788.8568684730267,2.0,A
3,265.7970058311472,4.0,B
4,545.0662268320018,2.0,C
5,372.0998270987408,1.0,C
6,647.3778784563302,2.0,A
7,355.855791988718,2.0,C
8,-103.7591210448241,2.0,D
9,621.1294626475162,2.0,A
10,-37.58278976750364,2.0,D
11,521.2258362456831,2.0,C
12,696.3086359056629,1.0,A
13,562.0124667302432,4.0,B
14,835.7366210138777,4.0,B
15,559.2473937697805,4.0,B
16,378.0984549450077,2.0,C
17,426.8558422484166,2.0,C
18,674.7598169078848,2.0,A
19,517.2073740671842,1.0,C
20,1063.3775546986762,1.0,A
21,523.4053020028367,4.0,B
22,-100.82135477157908,2.0,D
23,192.0827599842251,2.0,D
24,81.48291290976113,2.0,D
25,1108.9109020351823,4.0,A
26,-178.20558225143748,4.0,B
27,130.3730471613473,2.0,D
28,242.32934886653143,1.0,C
29,53.2218591164239,2.0,D
30,684.4466902485594,4.0,B
31,597.4385108311224,2.0,C
32,602.203197134101,4.0,B
33,568.6937270363828,2.0,C
34,520.0485107200604,2.0,C
35,-282.0124953637768,1.0,D
36,698.2165668381303,2.0,A
37,33.16191508486696,1.0,D
38,-66.81298766602208,2.0,D
39,120.45361193504964,4.0,B
40,412.541849291868,2.0,C
41,-6.108124063009086,2.0,D
42,1438.9759984217308,4.0,A
43,186.79146530306008,1.0,D
44,-15.74899757160506,2.0,D
45,857.096903856446,1.0,A
46,-81.47890710783241,4.0,B
47,87.57909534818327,4.0,B
48,467.4030987925409,2.0,C
49,223.74896762562028,2.0,D
50,810.5891447051804,1.0,A
51,465.5619245486896,4.0,B
52,535.103434529432,4.0,B
53,409.7581796821144,2.0,C
54,185.1750847914764,4.0,B
55,261.86575738381134,1.0,C
56,350.72326328409,2.0,C
57,279.6414419230217,2.0,C
58,288.0200004991295,4.0,B
59,450.6827316890871,1.0,C
60,513.883446080268,2.0,C
61,552.7892426448645,2.0,C
62,441.9051118167095,2.0,C
63,873.8947728913602,4.0,B
64,363.8439950614263,4.0,B
65,98.97144403306572,1.0,D
66,196.51513265906556,2.0,D
67,724.279282732107,2.0,A
68,756.5177490559831,2.0,A
69,412.6593723928996,2.0,C
70,300.92769795198546,2.0,C
71,506.5962935493723,4.0,B
72,727.5919623098442,2.0,A
73,299.4309227552488,2.0,C
74,262.6913468766696,2.0,C
75,851.0979893576034,2.0,A
76,737.7371962253703,2.0,A
77,172.92533673355726,4.0,B
78,649.0175622982372,2.0,A
79,613.6485685850307,1.0,C
80,396.3317764960398,4.0,B
81,274.47703383451784,1.0,C
82,221.61749191155263,4.0,B
83,-224.76735722699848,2.0,D
84,479.4949885281883,4.0,B
85,396.60591449095546,1.0,C
86,415.8567776623029,2.0,C
87,379.1079711155887,1.0,C
88,2.659846633460859,1.0,D
89,604.0392387753645,2.0,C
90,501.30560092541214,2.0,C
91,812.9576362316404,2.0,A
92,247.13650248377704,2.0,C
93,304.8360130767576,2.0,C
94,191.7377922305032,2.0,D
95,693.2607216706435,2.0,A
96,833.5594136670536,2.0,A
97,681.4182672836522,2.0,A
98,489.26866364914895,2.0,C
