household_id,region,cooking_fuel,consumption_kwh,consumption_kwh_projected
1,Nairobi,charcoal,416.1140686021686,450.4434792618475
2,Nairobi,charcoal,788.8568684730267,853.9375601220514
3,Nairobi,LPG,265.7970058311472,287.72525881221685
4,Nairobi,charcoal,545.0662268320018,590.034190545642
5,Nairobi,firewood,372.09982709874083,402.79806283438694
6,Nairobi,electricity,647.3778784563302,700.7865534289775
7,Nairobi,charcoal,355.855791988718,385.21389482778727
8,Nairobi,electricity,-103.7591210448241,-112.31924853102208
9,Nairobi,charcoal,621.1294626475162,672.3726433159363
10,Nairobi,electricity,-37.58278976750364,-40.683369923322694
11,Nairobi,charcoal,521.2258362456831,564.226967735952
12,Nairobi,firewood,696.3086359056629,753.75409836788
13,Nairobi,LPG,562.0124667302432,608.3784952354882
14,Nairobi,LPG,835.7366210138777,904.6848922475226
15,Nairobi,LPG,559.2473937697805,605.3853037557874
16,Nairobi,electricity,378.0984549450077,409.2915774779708
17,Nairobi,charcoal,426.8558422484166,462.071449233911
18,Nairobi,charcoal,674.7598169078848,730.4275018027853
19,Nairobi,firewood,517.2073740671842,559.876982427727
20,Nairobi,firewood,1063.3775546986762,1151.106202961317
21,Nairobi,LPG,523.4053020028367,566.5862394180707
22,Nairobi,electricity,-100.82135477157908,-109.13911654023435
23,Nairobi,charcoal,192.0827599842251,207.92958768292368
24,Nairobi,electricity,81.48291290976113,88.20525322481642
25,Nairobi,LPG,1108.9109020351825,1200.3960514530852
26,Nairobi,LPG,-178.20558225143748,-192.9075427871811
27,Nairobi,electricity,130.3730471613473,141.12882355215845
28,Nairobi,firewood,242.32934886653146,262.3215201480203
29,Nairobi,electricity,53.2218591164239,57.61266249352887
30,Nairobi,LPG,684.4466902485594,740.9135421940656
31,Nairobi,electricity,597.4385108311224,646.72718797469
32,Nairobi,LPG,602.203197134101,651.8849608976643
33,Nairobi,charcoal,568.6937270363828,615.6109595168845
34,Nairobi,electricity,520.0485107200604,562.9525128544655
35,Nairobi,firewood,-282.0124953637768,-305.27852623128837
36,Nairobi,electricity,698.2165668381303,755.8194336022761
37,Nairobi,firewood,33.16191508486696,35.897773079368484
38,Nairobi,electricity,-66.81298766602208,-72.32505914846891
39,Nairobi,LPG,120.45361193504965,130.39103491969124
40,Nairobi,charcoal,412.54184929186795,446.57655185844703
41,Nairobi,charcoal,-6.108124063009086,-6.612044298207336
42,Nairobi,LPG,1438.9759984217308,1557.6915182915236
43,Nairobi,firewood,186.79146530306008,202.20176119056254
44,Nairobi,charcoal,-15.74899757160506,-17.048289871262476
45,Nairobi,firewood,857.096903856446,927.8073984246029
46,Nairobi,LPG,-81.47890710783241,-88.2009169442286
47,Nairobi,LPG,87.57909534818327,94.80437071440839
48,Nairobi,electricity,467.40309879254085,505.9638544429255
49,Nairobi,charcoal,223.74896762562028,242.20825745473397
50,Nairobi,firewood,810.5891447051804,877.4627491433578
51,Nairobi,LPG,465.5619245486896,503.9707833239565
52,Nairobi,LPG,535.103434529432,579.2494678781102
53,Nairobi,charcoal,409.75817968211436,443.5632295058888
54,Nairobi,LPG,185.17508479147642,200.45202928677324
55,Nairobi,firewood,261.86575738381134,283.4696823679758
56,Nairobi,electricity,350.72326328409,379.6579325050275
57,Nairobi,electricity,279.6414419230217,302.711860881671
58,Nairobi,LPG,288.0200004991295,311.7816505403077
59,Nairobi,firewood,450.6827316890871,487.8640570534368
60,Nairobi,charcoal,513.883446080268,556.2788303818901
61,Nairobi,charcoal,552.7892426448645,598.3943551630658
62,Nairobi,electricity,441.90511181670945,478.362283541588
63,Nairobi,LPG,873.8947728913602,945.9910916548974
64,Nairobi,LPG,363.8439950614263,393.861124653994
65,Nairobi,firewood,98.97144403306572,107.13658816579364
66,Nairobi,charcoal,196.51513265906553,212.72763110343843
67,Nairobi,electricity,724.279282732107,784.032323557506
68,Nairobi,electricity,756.5177490559831,818.9304633531018
69,Nairobi,electricity,412.6593723928996,446.70377061531383
70,Nairobi,electricity,300.92769795198546,325.75423303302426
71,Nairobi,LPG,506.5962935493723,548.3904877671955
72,Nairobi,charcoal,727.5919623098442,787.6182992004063
73,Nairobi,electricity,299.43092275524873,324.13397388255675
74,Nairobi,electricity,262.69134687666957,284.36338299399483
75,Nairobi,charcoal,851.0979893576034,921.3135734796057
76,Nairobi,charcoal,737.7371962253703,798.6005149139634
77,Nairobi,LPG,172.92533673355726,187.19167701407574
78,Nairobi,electricity,649.0175622982372,702.5615111878418
79,Nairobi,firewood,613.6485685850307,664.2745754932957
80,Nairobi,LPG,396.3317764960398,429.0291480569631
81,Nairobi,firewood,274.47703383451784,297.12138912586556
82,Nairobi,LPG,221.61749191155266,239.90093499425575
83,Nairobi,electricity,-224.76735722699846,-243.31066419822582
84,Nairobi,LPG,479.4949885281883,519.0533250817638
85,Nairobi,firewood,396.60591449095546,429.3259024364593
86,Nairobi,electricity,415.85677766230293,450.1649618194429
87,Nairobi,firewood,379.10797111558867,410.3843787326247
88,Nairobi,firewood,2.659846633460859,2.8792839807213797
89,Nairobi,charcoal,604.0392387753645,653.8724759743321
90,Nairobi,charcoal,501.30560092541214,542.6633130017586
91,Nairobi,electricity,812.9576362316404,880.0266412207508
92,Nairobi,charcoal,247.13650248377704,267.5252639386886
93,Nairobi,charcoal,304.8360130767576,329.9849841555901
94,Nairobi,charcoal,191.73779223050317,207.5561600895197
95,Nairobi,charcoal,693.2607216706435,750.4547312084717
96,Nairobi,electricity,833.5594136670536,902.3280652945855
97,Nairobi,charcoal,681.4182672836522,737.6352743345535
98,Nairobi,electricity,489.26866364914895,529.6333284002037
99,Nairobi,charcoal,274.9727898632765,297.65804502699683
100,Nairobi,charcoal,360.5437744854883,390.2886358805411
101,Nairobi,firewood,172.9088597916821,187.17384072449588
